Annual Income,Years in current job,Tax Liens,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,Months since last delinquent,Bankruptcies,Term,Current Loan Amount,Current Credit Balance,Monthly Debt,Credit Score,Credit Default,Home Mortgage,Purpose_business loan,Purpose_debt/purchase/other,Purpose_house/wedding/education
1140000,10.0,0,9,16.0,778448,0,255,0,1,462000,414808,19950,725,0,0,0,1,0
1631644,8.0,0,9,12.1,862422,0,255,0,0,351670,155667,4773,718,1,1,0,1,0
1435127,0.5,0,10,21.2,1643906,0,68,0,1,443124,782268,28487,674,0,1,0,1,0
1165811,10.0,0,17,32.5,2322650,0,255,0,0,448184,136401,29320,731,0,0,0,1,0
808298,5.0,0,12,15.7,632170,0,255,0,0,265826,251693,8622,746,0,0,0,1,0
1164852,3.0,0,19,12.7,276540,0,255,0,0,175340,92663,12134,729,1,0,0,1,0
1165811,1.0,0,7,9.0,415250,0,255,0,0,174438,185402,7735,731,0,0,0,1,0
985815,8.0,0,11,18.1,227876,3,51,3,0,108504,104899,10351,729,1,0,0,1,0
1165811,10.0,0,6,36.8,263934,0,70,0,1,111848,60173,16918,731,0,0,0,1,0
1112298,0.5,0,7,9.0,81598,0,255,0,0,128788,42921,15906,704,1,1,0,1,0
1001357,6.0,0,6,16.5,655292,0,255,0,0,109384,294291,16606,745,0,1,0,1,0
1860290,3.0,0,18,16.4,1120218,0,255,0,0,116314,697528,49298,749,0,0,0,1,0
2539103,6.0,0,13,17.2,1211430,0,255,0,0,381106,636101,51205,742,0,1,0,1,0
1301614,9.0,0,17,18.0,476476,0,255,0,0,592240,959899,16813,748,0,1,0,1,0
1934884,5.0,0,9,18.0,769604,0,51,0,0,390258,429381,19188,745,0,1,0,1,0
1533566,7.0,0,11,14.8,715462,0,19,0,0,210826,285475,18147,744,1,1,0,1,0
1375068,10.0,0,18,32.0,2672516,0,22,0,1,741774,678585,17991,729,0,1,0,1,0
1041675,10.0,0,13,19.4,551320,0,16,0,0,100144,167599,12648,737,0,1,0,1,0
1304141,10.0,0,6,12.9,132418,1,32,1,0,176616,97546,14237,673,0,0,0,1,0
601369,10.0,0,6,16.9,476476,0,14,0,0,165924,0,9021,738,0,0,0,1,0
1642075,10.0,0,12,12.9,384736,0,14,0,0,276562,275462,25863,653,0,1,0,1,0
1165811,10.0,0,18,17.9,476476,0,255,0,0,311168,206188,55716,731,0,1,0,1,0
1049294,3.0,0,5,6.1,249810,0,255,0,0,337502,119529,15215,701,1,0,1,0,0
805828,9.0,0,8,20.5,657360,0,38,0,0,199936,250933,13565,740,0,1,0,1,0
757568,5.0,0,13,11.4,383548,0,255,0,0,210518,276583,11553,732,1,0,0,1,0
840541,6.0,0,6,14.8,427372,0,255,0,0,265826,1102,483,751,0,0,1,0,0
1242087,0.0,0,17,20.6,613954,1,36,1,0,196130,181336,16251,711,1,0,0,1,0
1165811,1.0,0,9,8.9,61358,0,255,0,0,32824,14041,7879,731,1,0,0,0,1
337079,1.0,0,9,39.6,644204,0,0,0,0,265826,224770,4326,734,0,0,0,0,1
960260,10.0,0,10,16.3,796312,0,34,0,1,333564,320473,16645,617,0,0,0,1,0
708624,9.0,0,7,8.5,576378,0,255,0,0,299376,210064,6555,730,0,1,0,1,0
1510538,10.0,0,7,18.8,593472,0,255,0,1,405944,432060,19511,724,0,0,0,1,0
1194834,3.0,0,10,31.3,520740,0,30,0,0,265826,332804,12148,747,0,0,0,1,0
1165811,1.0,0,16,17.6,1158630,0,71,0,0,343772,218139,5996,731,0,0,0,0,1
2454933,10.0,0,10,22.4,531454,0,3,0,0,437316,383249,50122,730,0,1,0,1,0
1165811,3.0,0,14,11.9,300740,0,73,0,0,90178,157149,14324,731,0,0,0,1,0
1390306,0.0,0,7,23.9,351516,0,52,0,0,265826,10925,9755,744,0,0,0,0,1
2831190,3.0,0,11,16.7,518188,0,255,0,0,393382,362938,26188,741,0,1,0,1,0
1131545,3.0,0,14,14.6,602954,0,44,0,1,265826,216106,12258,734,0,0,0,1,0
1165811,2.0,0,9,13.8,259842,0,255,0,0,151514,160455,13511,731,0,1,0,1,0
1530640,10.0,0,14,18.0,283448,2,61,2,0,243694,194598,15306,740,0,1,0,1,0
902918,10.0,0,13,15.2,329252,0,72,0,0,222442,31559,9706,738,0,1,0,1,0
1030579,0.5,0,11,8.0,141020,0,255,0,1,379698,95247,10478,624,1,0,0,0,1
2041094,3.0,0,19,16.0,1034616,0,255,0,0,644556,455696,46945,736,0,1,0,1,0
1039984,0.0,0,10,23.8,147950,0,63,0,0,224246,95456,13780,739,1,1,0,1,0
1350083,5.0,0,10,12.2,325490,0,255,0,1,223322,168663,15076,724,0,1,0,1,0
1637629,10.0,0,9,17.0,372878,0,255,0,0,460438,285323,24974,724,0,1,0,1,0
566409,3.0,0,12,6.0,288772,0,255,0,0,109318,82308,11611,667,0,0,0,1,0
1165811,5.0,0,8,6.4,405284,0,23,0,0,182336,158555,21091,731,0,1,0,1,0
405346,2.0,0,10,9.8,251900,0,5,0,0,265826,41762,7600,746,0,0,0,1,0
1217349,0.5,0,10,16.7,366498,0,60,0,0,325292,298490,25361,707,0,0,0,1,0
494798,6.0,0,9,10.3,330176,0,17,0,0,176286,124602,6968,694,1,0,0,1,0
2379047,10.0,0,11,21.7,1046694,0,255,0,1,749276,854240,25376,679,0,1,0,1,0
1004207,6.0,0,10,14.8,380248,1,32,1,0,265826,139897,12218,726,0,1,0,1,0
2334150,2.0,0,14,17.7,1467620,0,255,0,0,648648,996246,42987,708,0,1,0,1,0
1933573,4.0,0,9,20.5,847990,0,255,0,0,545336,186751,12214,748,0,1,0,1,0
1242657,10.0,0,15,13.2,697004,0,59,0,1,221364,164331,12841,732,0,1,0,1,0
1191015,3.0,0,15,22.4,1392116,0,255,0,0,497992,660041,22629,739,0,1,0,1,0
1165811,10.0,0,8,33.6,651794,0,13,0,0,108218,401356,15390,731,0,1,0,1,0
753464,0.5,0,12,14.3,516692,0,255,0,0,133056,319504,10862,740,0,0,0,1,0
1594176,10.0,0,8,18.0,909018,0,255,0,1,434324,372115,6509,735,1,1,1,0,0
1878910,10.0,0,17,21.7,476476,0,1,0,0,326348,1009356,16441,693,0,1,0,1,0
564300,10.0,0,14,19.1,349844,1,13,1,1,326700,58007,15001,668,1,1,0,1,0
1165811,9.0,0,11,14.1,296692,0,74,0,0,110792,187321,19964,731,0,0,0,1,0
1219724,10.0,0,7,18.8,385242,0,17,0,1,78628,159695,17971,723,1,0,0,1,0
3694037,10.0,0,6,23.0,935814,0,4,0,0,137566,661922,23642,724,1,1,0,1,0
1682298,3.0,0,5,12.9,445984,0,255,0,0,151514,223782,7388,748,0,0,0,1,0
1165811,4.0,0,10,15.5,209220,0,8,0,0,337502,103360,18460,731,0,1,0,1,0
968924,10.0,0,12,21.2,196460,0,35,0,0,128370,88236,10497,725,1,0,0,1,0
1165811,10.0,0,8,19.2,359084,0,72,0,0,328482,142329,26793,731,0,1,0,1,0
606062,8.0,0,11,27.3,235620,2,32,2,0,116226,105811,11566,731,0,0,0,1,0
1165811,10.0,0,6,20.4,249392,0,255,0,0,331056,152285,10321,731,1,0,0,1,0
1165811,0.0,0,16,20.7,612216,0,42,0,1,412852,378062,25810,731,1,0,0,1,0
1534478,4.0,0,14,15.7,539220,0,255,0,0,325028,321784,17391,748,0,1,0,1,0
700625,0.0,0,11,20.1,414502,1,68,1,0,265826,156427,3912,738,0,1,0,1,0
1576791,1.0,0,6,9.7,448954,0,39,0,0,265826,94221,11524,748,0,0,0,1,0
2676758,10.0,0,17,7.8,1387606,0,13,0,0,265826,293607,19183,737,0,1,0,1,0
395124,9.0,0,16,16.5,561462,0,21,0,0,143792,207537,9582,701,1,1,0,1,0
1165811,10.0,0,12,16.8,362032,1,32,1,0,430980,229482,15794,731,0,1,0,1,0
1440257,4.0,0,7,16.0,1286186,0,255,0,0,265826,242155,2953,746,0,1,1,0,0
1026817,10.0,0,19,20.8,957550,0,255,0,1,345884,619419,18055,714,1,1,0,1,0
749816,9.0,0,7,14.5,329890,0,255,0,0,325578,207138,12934,747,1,0,0,1,0
1165811,3.0,0,12,13.8,271700,0,255,0,0,307230,99484,3454,731,0,0,0,1,0
918384,10.0,0,10,33.7,763906,0,11,0,0,212674,502075,14388,744,0,1,0,1,0
1988825,10.0,0,4,14.2,730466,0,41,0,0,614086,383553,6911,737,0,1,0,1,0
2421835,3.0,1,2,23.0,754160,1,32,0,0,232958,120498,3713,749,0,0,0,1,0
901588,0.5,0,5,16.0,131230,0,55,0,1,266904,88407,7566,661,1,0,0,1,0
1165811,4.0,0,10,20.2,1417042,0,17,0,0,440308,671878,33841,731,0,1,0,1,0
756276,2.0,0,5,16.7,525778,0,255,0,1,265826,53580,1683,739,0,0,0,1,0
681435,0.5,0,8,18.8,261602,0,67,0,0,169070,127870,4594,742,0,0,0,1,0
2131591,0.5,0,15,31.7,476476,0,255,0,0,269258,206188,20783,728,0,1,0,1,0
735528,4.0,0,11,14.3,546920,0,255,0,0,265826,403845,15201,714,0,0,0,1,0
2899305,10.0,0,15,16.6,667480,0,255,0,1,783332,328016,64751,709,0,1,0,1,0
1951319,4.0,0,7,18.6,601766,0,255,0,0,327888,220875,13936,736,0,1,1,0,0
4580976,4.0,0,18,25.5,1553530,0,255,0,1,265826,633289,94674,727,0,1,0,1,0
1808800,5.0,0,7,23.3,522104,1,61,1,1,436524,257013,19897,717,0,1,0,1,0
2379522,2.0,0,23,17.8,1267530,0,37,0,0,265826,839629,39064,743,0,1,0,1,0
2334226,0.0,0,13,31.4,2170894,0,255,0,0,465234,628083,30150,750,0,1,0,1,0
664810,10.0,0,11,21.1,393162,1,32,1,0,265826,117477,5651,741,0,1,0,1,0
848426,10.0,0,10,17.9,274934,0,255,0,0,151184,163362,13221,718,1,0,0,1,0
1197323,3.0,0,17,12.0,671176,0,255,0,0,290686,213902,17660,748,0,0,0,1,0
1501855,10.0,0,8,14.7,372196,0,8,0,1,535084,132430,28285,678,0,0,0,1,0
708491,1.0,0,16,19.4,559020,0,21,0,0,326524,438862,20960,709,1,0,0,1,0
1281455,5.0,0,9,20.5,552662,0,255,0,1,541530,368486,26056,675,0,1,0,1,0
833416,10.0,0,7,9.5,237138,0,59,0,0,61402,58159,3091,667,0,0,0,1,0
1165811,10.0,0,16,24.5,824428,0,255,0,0,264264,317566,25942,731,0,1,0,1,0
696863,7.0,0,7,7.8,652762,0,255,0,0,87406,187169,9872,718,0,0,0,1,0
1094837,0.0,0,9,39.3,611754,0,255,0,0,134420,230356,17700,743,0,1,0,1,0
2356475,10.0,0,11,34.0,465124,0,255,0,0,523886,272745,32009,700,0,1,0,1,0
1165811,3.0,0,17,20.6,1824306,0,47,0,1,626538,967385,63515,731,0,1,0,1,0
597075,2.0,0,12,4.8,943360,0,255,0,0,144958,97774,3060,737,0,0,0,1,0
1165811,0.5,0,9,9.1,101442,0,3,0,0,40546,51585,4553,731,1,0,0,1,0
1770895,10.0,0,19,10.1,1115114,0,255,0,0,264572,471903,24350,741,0,1,0,1,0
2010960,10.0,1,7,23.4,180488,1,40,0,0,646800,13870,17763,743,0,1,0,0,1
1325345,0.5,0,16,9.9,980342,0,255,0,1,438460,536788,24850,645,0,0,0,1,0
1165811,3.0,0,24,20.5,2940916,0,255,0,1,260414,985473,40120,731,0,1,0,1,0
2657074,7.0,0,16,32.0,1630618,0,255,0,0,615318,1080131,42513,747,1,1,0,1,0
1863311,10.0,1,17,17.9,948420,2,32,1,1,653796,674937,42856,683,1,0,0,1,0
1857554,7.0,0,24,19.7,707630,0,255,0,0,322630,400900,26470,742,0,0,0,1,0
479940,5.0,0,23,10.5,450626,0,255,0,0,114488,101574,10799,697,1,0,0,1,0
929575,1.0,0,17,14.5,868538,0,255,0,0,265826,182267,17817,748,0,0,0,1,0
1165811,10.0,0,21,29.4,1714966,0,4,0,0,695068,503576,67783,731,1,1,0,1,0
1417514,10.0,0,19,30.0,611798,0,32,0,0,562100,284791,22562,736,1,0,0,1,0
1165811,1.0,0,19,19.9,809446,0,17,0,1,602624,353723,32651,731,1,1,0,1,0
815157,7.0,0,3,8.8,476476,0,255,0,0,218042,0,5855,738,0,0,1,0,0
1221662,4.0,0,9,10.6,283096,0,26,0,0,261140,95342,15678,728,1,1,0,1,0
2298240,10.0,0,11,13.3,840048,0,255,0,0,332640,587651,18520,737,1,0,0,1,0
1738044,4.0,0,12,26.0,402556,0,76,0,0,61248,233966,35919,740,0,1,0,1,0
1341590,8.0,0,12,20.9,700942,0,30,0,0,215754,494589,21801,732,0,1,0,1,0
1165811,6.0,0,7,15.0,402886,0,255,0,0,178002,265506,17615,731,0,1,0,1,0
2022835,4.0,0,10,26.8,229746,1,43,1,0,350240,136705,9018,733,0,0,0,1,0
1077490,0.5,0,10,15.4,271832,0,12,0,1,377652,170677,4597,726,0,0,0,1,0
637279,2.0,0,12,10.8,362406,0,255,0,0,268334,231610,11259,745,0,0,0,1,0
1165811,5.0,0,8,25.7,896456,0,255,0,1,262768,194332,6539,731,0,1,0,1,0
1304407,2.0,0,12,40.3,607684,0,255,0,0,124652,455544,25979,747,1,1,0,1,0
1130196,6.0,0,16,14.4,635052,0,8,0,1,265826,329631,30327,721,0,0,0,1,0
917567,10.0,0,9,15.8,313478,0,37,0,0,221342,137807,12387,751,0,1,0,1,0
2685536,10.0,0,12,31.0,1353286,0,32,0,0,265826,178809,35628,744,0,1,0,1,0
679630,10.0,0,12,22.4,359876,0,255,0,0,112420,299307,19370,706,0,0,0,1,0
2506252,1.0,0,11,21.4,1589148,0,255,0,0,454542,639559,31328,748,1,1,0,1,0
1165811,2.0,0,18,17.3,1540198,0,43,0,0,218988,95779,15642,731,0,0,0,1,0
1165811,0.5,0,10,21.5,305756,0,65,0,0,332288,202806,21355,731,1,1,0,1,0
1101126,10.0,0,15,26.4,1043658,0,19,0,0,263780,517370,21288,728,0,1,0,1,0
567378,4.0,0,11,20.5,238326,0,255,0,0,131384,45904,7414,724,0,0,0,1,0
1627825,10.0,0,6,30.0,290136,0,7,0,0,133848,136306,24689,745,0,1,0,1,0
1733674,10.0,0,19,22.4,2847174,1,32,1,0,715682,287698,33084,704,1,1,0,1,0
1165811,3.0,0,8,23.6,323312,0,255,0,0,267520,230926,5487,731,0,1,0,1,0
564357,7.0,0,9,9.8,455048,0,77,0,0,225984,311258,14015,731,0,0,0,1,0
656336,5.0,0,4,15.3,286044,0,255,0,0,261514,237405,6837,700,1,1,0,1,0
1485857,0.5,1,10,10.0,407946,1,32,0,0,265826,98287,19811,703,0,0,0,1,0
892791,2.0,0,20,9.6,141570,0,34,0,0,134838,86811,3303,741,0,0,0,1,0
1165811,2.0,0,9,21.8,650562,0,32,0,0,108372,383743,7886,731,0,0,0,1,0
1226583,7.0,0,15,12.2,776160,0,255,0,1,542080,350569,16048,660,0,1,0,1,0
583224,1.0,0,6,23.1,159830,0,255,0,0,162074,128231,4666,712,0,0,0,1,0
509599,0.0,0,12,38.7,836220,0,255,0,0,128744,578474,14354,704,0,1,0,1,0
2299836,6.0,0,12,15.0,902792,0,255,0,1,776710,362558,46188,701,0,0,0,1,0
486552,10.0,0,6,26.6,495924,0,255,0,0,187594,174325,4906,738,1,1,0,1,0
2065756,3.0,0,15,20.1,641432,0,16,0,0,271810,232655,45791,739,0,1,0,1,0
835601,2.0,0,7,11.8,96800,0,48,0,0,51612,74233,5146,715,0,0,0,1,0
563502,2.0,0,5,24.3,47938,0,63,0,0,39138,9310,8453,715,0,0,0,1,0
1165811,5.0,0,12,19.7,1051688,0,255,0,0,423720,618545,43383,731,0,1,0,1,0
1159152,1.0,0,14,18.5,651310,0,255,0,0,322124,473632,23570,730,0,1,0,1,0
1165811,3.0,0,21,28.7,1156232,0,255,0,0,379280,519251,27894,731,0,1,0,1,0
1165811,5.0,0,9,13.8,951676,0,255,0,0,603812,329593,12664,731,0,1,0,0,1
1533984,6.0,0,14,16.0,421850,0,55,0,0,133210,241547,31575,743,1,0,0,1,0
1570065,8.0,0,7,14.5,550000,0,79,0,1,265826,47500,17271,729,0,1,0,0,1
1165811,10.0,0,17,20.7,269148,0,255,0,0,269148,175503,32983,731,0,1,0,1,0
863341,10.0,0,12,15.1,1226390,0,255,0,0,365090,134520,3137,751,1,0,0,1,0
749816,4.0,0,11,13.0,164780,1,75,1,0,93500,80693,16933,717,0,0,0,1,0
753179,0.0,0,13,21.5,462220,0,80,0,0,135146,162868,13055,739,1,0,0,1,0
860567,4.0,0,8,17.7,268070,0,22,0,0,265716,198645,13554,725,0,0,0,1,0
1165811,3.0,0,19,10.1,289762,0,71,0,1,214588,135375,10842,731,0,1,0,1,0
1325212,0.5,0,6,23.4,649770,0,255,0,0,265826,45448,906,745,0,0,0,0,1
1119024,10.0,0,8,21.5,901516,0,255,0,0,265826,478819,11190,748,0,1,0,1,0
446025,0.5,0,3,30.1,749144,0,31,0,0,71720,32357,2070,723,0,0,0,1,0
1893426,0.0,0,7,52.2,711524,0,255,0,1,429880,500802,41024,654,1,1,0,1,0
1539152,7.0,0,12,24.5,657052,0,255,0,0,534644,347852,18341,742,0,1,0,1,0
584079,5.0,0,4,22.5,281512,1,32,1,0,112728,38893,8031,736,0,1,0,1,0
1682545,5.0,0,11,15.4,709082,0,255,0,0,153230,596467,22714,739,0,0,0,1,0
730835,2.0,0,6,19.4,63184,0,11,0,0,107976,29089,14465,737,1,0,0,0,1
699162,8.0,0,6,26.6,200420,1,70,1,0,174108,84303,2220,711,0,0,0,1,0
759772,10.0,0,14,24.5,528242,0,60,0,0,153956,101270,5736,748,0,0,0,1,0
1162572,2.0,2,11,36.5,928598,2,41,0,1,358974,441085,18601,738,0,1,0,1,0
1730349,0.5,0,12,17.2,1553596,0,255,0,1,534292,474981,31002,721,1,1,0,1,0
857660,1.0,0,6,19.7,291082,0,0,0,0,265826,236816,3488,743,0,0,0,1,0
1165811,2.0,0,15,13.6,1556390,0,0,0,0,447480,524210,19613,731,0,1,0,1,0
699181,3.0,0,10,17.9,190190,0,64,0,0,151118,44194,17596,731,0,0,0,1,0
1062556,4.0,0,17,19.6,894278,0,255,0,0,335544,402382,19480,703,1,0,0,1,0
1636622,7.0,0,10,27.7,988350,0,41,0,0,265826,29013,10147,750,0,1,0,0,1
1418768,10.0,0,11,23.3,1155924,0,35,0,0,309430,618944,16907,742,0,1,0,1,0
1165811,2.0,0,12,16.3,653202,0,5,0,0,304392,200830,26445,731,0,0,0,1,0
1910678,10.0,0,13,19.4,351208,0,39,0,0,173514,209893,24839,747,1,1,0,1,0
1165811,0.5,0,8,20.0,228712,0,255,0,0,150942,121277,13222,731,0,0,0,1,0
3542075,10.0,0,13,26.5,846582,0,255,0,1,421212,628064,60805,731,0,1,0,1,0
1165811,0.5,0,11,12.8,182314,0,40,0,0,183260,128478,10814,731,0,0,0,1,0
2104003,4.0,0,5,16.5,130746,0,255,0,0,159456,93822,27527,743,1,1,0,1,0
665532,2.0,0,5,8.3,329054,0,255,0,0,154132,149188,3422,695,1,0,0,1,0
2431962,10.0,0,12,24.6,350856,0,7,0,0,86636,169385,51679,746,0,1,0,1,0
1165811,10.0,0,11,14.0,558250,0,255,0,0,129206,24586,930,731,0,0,0,1,0
1319360,2.0,0,10,13.5,858242,0,255,0,0,152768,340955,19241,743,0,0,0,1,0
1425855,10.0,0,8,15.0,888536,0,14,0,0,374220,307724,13427,743,0,1,0,1,0
1165811,10.0,0,5,43.9,906774,0,255,0,0,230054,232598,5075,731,0,1,1,0,0
954389,10.0,0,8,12.9,174394,0,19,0,0,237446,134653,16702,662,1,0,0,1,0
2889045,10.0,0,12,16.2,1367806,0,18,0,0,302148,717041,29613,740,0,0,0,1,0
2073261,0.0,0,25,42.1,1584308,0,255,0,0,448712,1082297,46648,734,0,1,0,1,0
1165811,3.0,0,8,21.6,887502,0,255,0,0,152988,270560,11270,731,1,1,0,1,0
1010724,0.5,0,13,16.7,151514,0,78,0,0,156772,127471,16087,687,0,0,0,1,0
1165811,9.0,0,7,16.9,434984,0,70,0,1,510884,323076,16546,731,1,1,0,1,0
1165811,10.0,0,17,23.3,1051886,0,255,0,0,784322,518738,95508,731,1,1,0,0,1
1726492,10.0,0,11,18.3,317922,0,255,0,0,193248,261383,48917,724,1,1,0,1,0
2150933,6.0,0,6,25.1,198748,0,255,0,0,265826,95437,7582,744,0,1,0,1,0
706268,5.0,0,4,14.3,129096,0,20,0,0,172172,96881,3102,728,0,1,0,1,0
953990,5.0,0,14,32.1,1603382,0,22,0,0,265826,844683,16377,710,0,1,0,1,0
